name,latestVersion,lastWeekDownloads,modifiedAt,latestPublishedAt,license,repository
"esbuild","0.28.1","204199566","2026-06-11T22:47:05.387Z","2026-06-11T22:47:05.085Z","MIT","git+https://github.com/evanw/esbuild.git"
"eslint","10.5.0","115204395","2026-06-12T17:54:40.744Z","2026-06-12T17:54:40.577Z","MIT","git+https://github.com/eslint/eslint.git"
"jest","30.4.2","45678586","2026-05-09T00:31:21.174Z","2026-05-09T00:31:21.036Z","MIT","https://github.com/jestjs/jest.git"
"npm","11.17.0","12203913","2026-06-11T18:43:50.367Z","2026-06-11T18:42:34.887Z","Artistic-2.0","git+https://github.com/npm/cli.git"
"nx","22.7.5","9136589","2026-06-12T20:08:56.336Z","2026-05-27T20:04:56.048Z","MIT","https://github.com/nrwl/nx.git"
"pnpm","11.6.0","92979224","2026-06-11T23:11:46.141Z","2026-06-11T23:06:54.463Z","MIT","git+https://github.com/pnpm/pnpm.git"
"prettier","3.8.4","113245611","2026-06-09T11:30:06.900Z","2026-06-09T11:30:06.784Z","MIT","git+https://github.com/prettier/prettier.git"
"rollup","4.61.1","103748945","2026-06-04T05:23:42.235Z","2026-06-04T05:23:41.959Z","MIT","git+https://github.com/rollup/rollup.git"
"tsx","4.22.4","56423081","2026-05-31T12:22:19.581Z","2026-05-31T12:22:19.330Z","MIT","git+https://github.com/privatenumber/tsx.git"
"turbo","2.9.18","13814935","2026-06-11T22:02:11.922Z","2026-06-10T23:18:18.525Z","MIT","git+https://github.com/vercel/turborepo.git"
"typescript","6.0.3","181677789","2026-04-16T23:38:28.092Z","2026-04-16T23:38:27.905Z","Apache-2.0","git+https://github.com/microsoft/TypeScript.git"
"vite","8.0.16","135762169","2026-06-01T10:37:49.566Z","2026-06-01T09:50:43.261Z","MIT","git+https://github.com/vitejs/vite.git"
"vitest","4.1.8","56565939","2026-06-12T12:57:21.700Z","2026-06-01T08:14:50.474Z","MIT","git+https://github.com/vitest-dev/vitest.git"
"webpack","5.107.2","49111709","2026-05-25T15:18:30.094Z","2026-05-25T15:18:29.744Z","MIT","git+https://github.com/webpack/webpack.git"
"yarn","1.22.22","7622989","2025-11-27T07:52:42.118Z","2024-03-09T21:35:40.868Z","BSD-2-Clause","git+https://github.com/yarnpkg/yarn.git"
